payment_id,vendor,date,amount,currency,method,reference
PAY-599AE746C3,Quasar Digital,2025-05-17,88904.58,INR,RTGS,REF-137D5404
PAY-F84A58EB96,Nimbus Soft,2025-06-20,33679.07,INR,IMPS,REF-19CDC00D
PAY-1F56D0CE9F,Granite Mining,2025-06-19,172997.75,INR,UPI,REF-2C7DB434
PAY-BDE67483D3,Metro Logistics,2025-07-26,930.0,INR,RTGS,REF-4AA7115B
PAY-09EC61CACE,Helios Motors,2025-08-24,57407.22,INR,UPI,REF-174D667D
PAY-5C26C953DD,Vertex Retail,2025-06-11,59693.21,INR,UPI,REF-5CC0ED86
PAY-E174D135A2,Alpha Insure,2025-05-09,117043.43,INR,UPI,REF-D2D0A899
PAY-0229C41919,Alpha Insure,2025-09-01,16482.24,INR,RTGS,REF-73A4D4C0
PAY-13C95D76A8,Zeta Telecom,2025-09-18,13294.66,INR,CARD,REF-9A3890C0
PAY-A240B5E484,Crimson Textiles,2025-05-28,188348.43,INR,IMPS,REF-0D686B99
PAY-C5404FD6B8,Vortex Metals,2025-09-23,8428.46,INR,RTGS,REF-7B60336A
PAY-FBFBAAEA50,Aurora Systems,2025-10-15,119557.08,INR,CASH,REF-06AA3793
PAY-6ABF70D0A7,Helios Motors,2025-06-20,134110.33,INR,RTGS,REF-466420DA
PAY-DCB491F905,Quasar Digital,2025-07-06,79459.28,INR,UPI,REF-E01B38A0
PAY-FE60B7AB1E,Olive Agro,2025-07-08,185839.16,INR,RTGS,REF-CF505C1F
PAY-2DA2FBDA61,ACME Corp,2025-08-16,124421.27,INR,UPI,REF-E2314C95
PAY-6DE3DA4668,Zeta Telecom,2025-09-10,49373.12,INR,CARD,REF-6D587D82
PAY-98D4EC83C1,Astra Labs,2025-07-25,176232.4,INR,CARD,REF-1CE5661A
PAY-D0492A5D8C,Sapphire Finance,2025-07-11,31970.49,INR,UPI,REF-F875E62B
PAY-007D3319F9,Stellar Insurance,2025-10-04,106023.67,INR,RTGS,REF-AA71A131
PAY-6D2628F20B,Prism Plastics,2025-05-23,187816.54,INR,IMPS,REF-A45236CD
PAY-E0C32BC825,Helios Motors,2025-05-22,177997.69,INR,CASH,REF-0A64530A
PAY-DD8F649B5B,Nova Travels,2025-07-01,121163.55,INR,IMPS,REF-ED29BB1E
PAY-B96CAB7D9B,Pine IT Services,2025-08-30,50598.69,INR,UPI,REF-E5EC8735
PAY-86DE72EFB1,Nimbus Soft,2025-09-29,85003.37,INR,NEFT,REF-B683EB79
PAY-BAF66A7A79,Quick Logistics,2025-04-27,69890.18,INR,NEFT,REF-DACC331C
PAY-E6FE25A055,Titan Beverages,2025-07-04,32735.6,INR,UPI,REF-C57D8E98
PAY-727F675BF4,Delta Engineering,2025-05-15,189037.66,INR,NEFT,REF-C837E584
PAY-5B571DEA92,Polar Constructions,2025-05-26,8844.86,INR,IMPS,REF-575CD84C
PAY-A776AC4882,Quick Logistics,2025-07-30,42410.27,INR,NEFT,REF-07590D7B
PAY-57674CD5E1,Prism Plastics,2025-05-18,71058.89,INR,RTGS,REF-A15FE696
PAY-FCC1B2B12E,Stellar Insurance,2025-06-06,185189.88,INR,IMPS,REF-7223CDB0
PAY-B668CBEAC3,Metro Logistics,2025-06-03,176342.53,INR,RTGS,REF-C0C6198F
PAY-286626B591,Trident Media,2025-07-19,156586.11,INR,CARD,REF-858A7535
PAY-8792D764CE,Prism Plastics,2025-06-21,53727.74,INR,NEFT,REF-07BC0718
PAY-3F7BDC703C,Zenith Apparel,2025-08-25,70256.86,INR,CASH,REF-92997EB0
PAY-78EC255DDD,Cobalt Energy,2025-05-03,132176.62,INR,CARD,REF-ED95202D
PAY-DCB7BEBF1D,Amber Healthcare,2025-07-07,183904.95,INR,CASH,REF-EBEC1475
PAY-19468F911D,Neptune Shipping,2025-10-12,102126.43,INR,CASH,REF-5FEBDCCB
PAY-7C7C1E1672,BlueBank Services,2025-05-27,175469.16,INR,CARD,REF-B881BE42
PAY-4C8A475F8E,Trident Media,2025-09-23,192525.6,INR,CARD,REF-65BE82A3
PAY-2D99920B75,Quick Logistics,2025-05-22,119515.97,INR,UPI,REF-44D0492D
PAY-A24F5AB72A,Raven Tools,2025-07-12,87560.58,INR,UPI,REF-C5CFCC06
PAY-368647590C,Iris Pharma,2025-08-14,921.9,INR,NEFT,REF-17F6AA86
PAY-2528FBB899,Stellar Insurance,2025-07-16,149811.36,INR,RTGS,REF-B7E65EB0
PAY-4554BD4CE4,Raven Tools,2025-07-08,101670.94,INR,CARD,REF-E6B9F51B
PAY-3A235F725B,Silverline Hotels,2025-08-12,139593.08,INR,CASH,REF-3B5FEE4D
PAY-6693D3001D,Zenith Apparel,2025-08-04,123479.17,INR,NEFT,REF-145D955F
PAY-BAF8FF28C2,Zephyr Foods,2025-06-14,123295.23,INR,CARD,REF-5215B176
PAY-8E126D7DE3,Crimson Textiles,2025-09-12,166828.17,INR,IMPS,REF-8B4064E8
PAY-6A353284FA,Evergreen Supplies,2025-06-12,86262.69,INR,RTGS,REF-F80D40C3
PAY-A491D4F261,Olive Agro,2025-08-13,101240.94,INR,CASH,REF-336934C2
PAY-66694D1C03,Pine IT Services,2025-08-22,158850.21,INR,CARD,REF-A62E42E5
PAY-DFF903611F,Prism Plastics,2025-05-13,54329.22,INR,IMPS,REF-3C0125E9
PAY-059E5B83CB,Nimbus Soft,2025-06-18,134722.74,INR,RTGS,REF-7F4F7DC2
PAY-00DF3794FF,Zenith Apparel,2025-06-03,5268.77,INR,CASH,REF-C4D92BEA
PAY-4143F07D08,Granite Mining,2025-09-25,170022.67,INR,CARD,REF-5ED91C7E
PAY-A1768D83B8,Olive Agro,2025-08-14,177284.31,INR,UPI,REF-6AEBE96A
PAY-A760D6212A,Iris Pharma,2025-10-22,77181.88,INR,CARD,REF-B0EE4138
PAY-21B6B9C31D,Quasar Digital,2025-05-28,131383.57,INR,UPI,REF-B74AA7D8
PAY-B4697DB229,Summit Paper,2025-05-22,175478.18,INR,CASH,REF-4491024D
PAY-865B788FAE,Lumen Power,2025-06-23,183535.27,INR,CARD,REF-B7957131
PAY-567BDBD526,Olive Agro,2025-05-28,160382.61,INR,NEFT,REF-37F3A907
PAY-CFD548745C,Summit Paper,2025-08-17,122724.14,INR,UPI,REF-C6234AB9
PAY-0DB087EB88,Lumen Power,2025-08-17,179493.02,INR,UPI,REF-ECB7B6EA
PAY-85BCE6D0DD,Lotus Telecom,2025-06-29,150479.47,INR,UPI,REF-B09BAF3F
PAY-A77703908E,Glide Technologies,2025-09-05,97177.1,INR,IMPS,REF-DDBDBDE2
PAY-BB4ADCBB4F,Nova Travels,2025-08-11,15957.93,INR,CASH,REF-90881D51
PAY-E8F84A8E09,Quasar Digital,2025-07-06,58065.15,INR,UPI,REF-3531EA7E
PAY-0E1EA12975,Iris Pharma,2025-06-12,13313.66,INR,RTGS,REF-7F65DD1B
PAY-6BBCFD6787,Amber Healthcare,2025-09-08,93451.9,INR,CASH,REF-EAF6FD3E
PAY-7B581EA334,Apollo Health,2025-08-13,78200.62,INR,NEFT,REF-27BB2886
PAY-E48F33AED8,Summit Paper,2025-09-14,86722.01,INR,NEFT,REF-4C5B6BA3
PAY-9AB83DC8DA,Neptune Shipping,2025-07-12,150818.29,INR,RTGS,REF-647C9CA6
PAY-EAAEC8D23D,Crescent Books,2025-09-15,160073.7,INR,NEFT,REF-909438D6
PAY-ACC6ED31EB,Falcon Couriers,2025-06-26,54950.59,INR,UPI,REF-A44006CE
PAY-D801344288,BlueBank Services,2025-08-03,67557.84,INR,CASH,REF-4E39172D
PAY-4E9273ED10,Raven Tools,2025-06-10,168180.88,INR,CASH,REF-3DDC45B4
PAY-4444EC7FFC,Stellar Insurance,2025-09-12,5879.81,INR,NEFT,REF-DA58D02B
PAY-A017BA75B4,Vortex Metals,2025-09-19,132768.45,INR,UPI,REF-F2139ADE
PAY-C79555C828,Trident Media,2025-05-05,52401.18,INR,CASH,REF-286B6870
PAY-029A76824C,Nova Travels,2025-08-04,50828.17,INR,NEFT,REF-362D5AC7
PAY-5017A59032,Granite Mining,2025-04-25,149930.34,INR,RTGS,REF-25F633EA
PAY-F7026F19D8,Summit Paper,2025-05-05,181818.42,INR,NEFT,REF-48F9163B
PAY-88782A5021,BlueBank Services,2025-10-01,30900.28,INR,CASH,REF-51D89997
PAY-7F0E3F2955,Olive Agro,2025-10-16,51620.62,INR,UPI,REF-D444BACB
PAY-9DBC560EE4,Metro Logistics,2025-10-02,121645.88,INR,IMPS,REF-FB1FADF1
PAY-6FC6EF3598,Vortex Metals,2025-05-07,185812.99,INR,CASH,REF-D4014FF0
PAY-AA14F4343A,Crimson Textiles,2025-06-17,15661.3,INR,UPI,REF-3742752B
PAY-BA23CBDE1C,Orion Foods,2025-10-23,154609.94,INR,UPI,REF-6523B1B7
PAY-A867014F70,Velvet Cosmetics,2025-05-03,69767.15,INR,NEFT,REF-380353D1
PAY-6CC5539389,ACME Corp,2025-08-16,164555.02,INR,RTGS,REF-759B609D
PAY-DBAA0B8D91,Polar Constructions,2025-07-22,127299.23,INR,RTGS,REF-58A8501C
PAY-92BAE17F71,Iris Pharma,2025-05-28,87379.69,INR,UPI,REF-1E9E2ADF
PAY-CB6B0C1D24,Stellar Insurance,2025-09-12,155040.97,INR,CASH,REF-D7813C8D
PAY-987C33203E,Polar Constructions,2025-09-17,54044.91,INR,IMPS,REF-798955C1
PAY-E981928B16,Nimbus Soft,2025-06-30,176385.42,INR,NEFT,REF-04B045B4
PAY-274D9519E7,Summit Paper,2025-08-21,114185.0,INR,UPI,REF-44BA41E6
PAY-042202B176,Trident Media,2025-08-25,42817.91,INR,CASH,REF-D4F5445F
PAY-5FD72BB93B,Amber Healthcare,2025-07-10,176123.84,INR,CARD,REF-DF21995D
PAY-4CF8D8511B,Lumen Power,2025-04-25,103567.14,INR,UPI,REF-2EAD2619
PAY-EE8A9BE6E9,Nimbus Soft,2025-06-19,144154.9,INR,IMPS,REF-BCEB8B20
PAY-833178A684,Lumen Power,2025-06-27,138276.56,INR,CARD,REF-5382A2FE
PAY-8B4A1A24F4,Lotus Telecom,2025-05-05,19064.14,INR,UPI,REF-C8F1EB06
PAY-AE80EB24DE,Crimson Textiles,2025-10-21,49039.38,INR,UPI,REF-658EBDC0
PAY-E14A690D16,Granite Mining,2025-09-08,106418.93,INR,IMPS,REF-2C26CA3A
PAY-7399E85965,Nova Travels,2025-07-15,50655.03,INR,CARD,REF-EDBDD107
PAY-5783355F2B,Raven Tools,2025-06-15,60771.11,INR,IMPS,REF-79FFA8E9
PAY-B28F8E7BD6,Raven Tools,2025-09-21,195333.1,INR,IMPS,REF-DCD56FB5
PAY-A20B3261F4,Orion Foods,2025-06-13,59601.17,INR,NEFT,REF-B9401329
PAY-ABA88A6838,Trident Media,2025-07-11,3322.6,INR,RTGS,REF-440662CC
PAY-624A04226A,Nova Travels,2025-05-09,194871.84,INR,NEFT,REF-AE0CB679
PAY-256BDF77E2,Coral Resorts,2025-05-27,127755.0,INR,CARD,REF-C4274F30
PAY-3036C7A5D7,Orion Foods,2025-04-30,115025.81,INR,NEFT,REF-F04D1C7E
PAY-D54B65545F,Granite Mining,2025-08-15,68470.83,INR,CASH,REF-A09FF6E7
PAY-C296BD23D4,Helios Motors,2025-08-23,23260.38,INR,NEFT,REF-8AAA3927
PAY-78F86A2113,Crimson Textiles,2025-08-25,17553.49,INR,CARD,REF-86F22A68
PAY-F010E2560E,Vertex Retail,2025-06-06,162322.84,INR,IMPS,REF-25245B14
PAY-33819AF15D,Nimbus Soft,2025-06-24,24131.09,INR,CASH,REF-C4BAA42B
PAY-E1C9D309FD,Echo Electronics,2025-09-22,158252.8,INR,UPI,REF-1949194E
PAY-B23301AB60,Glide Technologies,2025-09-04,76385.42,INR,IMPS,REF-7341E998
PAY-4F5E5B15EE,Marble Interiors,2025-09-22,198011.24,INR,RTGS,REF-289F6881
PAY-E94D8CEA1C,Velvet Cosmetics,2025-10-06,12515.95,INR,IMPS,REF-3B0E6005
PAY-DEBA60259A,Summit Paper,2025-06-11,125290.25,INR,IMPS,REF-BFD35E0D
PAY-E41F443B77,Prism Plastics,2025-05-14,31832.89,INR,NEFT,REF-0F25D19A
PAY-17063712B5,Lumen Power,2025-05-11,31728.26,INR,RTGS,REF-C8458301
PAY-BA620B1526,Lotus Telecom,2025-10-14,118965.33,INR,RTGS,REF-6F391917
PAY-67E2F28207,Quick Logistics,2025-06-18,57976.93,INR,RTGS,REF-3DC12DEC
PAY-D98202A4CD,Coral Resorts,2025-08-15,14700.36,INR,CARD,REF-9FC04D60
PAY-A65C41516B,Helios Motors,2025-09-28,118163.02,INR,CASH,REF-DD278979
PAY-85B1DCEA9A,Nova Travels,2025-05-27,14746.26,INR,IMPS,REF-21991738
PAY-FA485C526D,Marble Interiors,2025-09-22,142317.62,INR,NEFT,REF-62205426
PAY-93CDC52413,Lotus Telecom,2025-05-31,94005.25,INR,NEFT,REF-49FF2969
PAY-F20546AA2F,Coral Resorts,2025-08-10,188563.91,INR,RTGS,REF-9BF09199
PAY-A47B09454D,Lotus Telecom,2025-05-09,114638.68,INR,NEFT,REF-FCBA22CF
PAY-BC7AD2FD80,Pearl Analytics,2025-07-18,120940.87,INR,CARD,REF-9FD1209C
PAY-441BDB7745,Summit Paper,2025-10-11,164373.54,INR,NEFT,REF-EEB69BB1
PAY-7CA7771C87,Summit Paper,2025-06-03,94364.91,INR,NEFT,REF-ECE3A59E
PAY-7CC2FBF086,Nova Travels,2025-06-11,199390.62,INR,IMPS,REF-44441F35
PAY-C9CCD414DF,Titan Beverages,2025-08-31,218685.84,INR,UPI,REF-F57A9C41
PAY-FA16937D06,Neptune Shipping,2025-08-06,76193.86,INR,RTGS,REF-893083A5
PAY-D2A088C0C6,Metro Logistics,2025-07-21,82623.2,INR,CARD,REF-0C3C61B7
PAY-5C0D4638D4,Evergreen Supplies,2025-10-13,186295.21,INR,CARD,REF-D6D1B860
PAY-C1E4BF7FD0,Olive Agro,2025-05-12,57003.62,INR,CASH,REF-F6AC160B
PAY-BB3403067E,Delta Engineering,2025-08-06,173049.66,INR,UPI,REF-69444F9E
PAY-AB78D76D48,Prism Plastics,2025-09-04,92664.28,INR,IMPS,REF-CA1F94F6
PAY-6EFFB398BE,Titan Beverages,2025-08-20,152118.11,INR,IMPS,REF-42FFA158
PAY-05CAEB440D,Nova Travels,2025-09-17,23772.04,INR,UPI,REF-D38380C0
PAY-60F257C6DF,Lotus Telecom,2025-10-16,97200.0,INR,NEFT,REF-D213D963
PAY-718B343826,Titan Beverages,2025-09-28,159963.09,INR,NEFT,REF-FA7E7FA0
PAY-8CE71652E5,Marble Interiors,2025-09-09,3228.06,INR,NEFT,REF-AD0055C0
PAY-A70EF2EF66,Olive Agro,2025-05-31,129718.08,INR,UPI,REF-2751505E
PAY-39E4E8A7C3,Falcon Couriers,2025-07-05,108560.29,INR,CARD,REF-0820F2C8
PAY-B0B0CDC9ED,Aurora Systems,2025-08-23,196058.8,INR,RTGS,REF-7D604952
PAY-A63654F22D,Olive Agro,2025-09-09,29356.07,INR,NEFT,REF-4C8E18BD
PAY-61641BD48F,Echo Electronics,2025-09-05,149385.36,INR,CASH,REF-CF072714
PAY-101489C664,Zeta Telecom,2025-06-29,154648.69,INR,UPI,REF-1B5E3D33
PAY-8A191E4E00,Evergreen Supplies,2025-07-05,167576.45,INR,CARD,REF-9B255F29
PAY-A126250C1B,Vertex Retail,2025-08-18,107946.83,INR,CASH,REF-2D14087A
PAY-318889346B,Amber Healthcare,2025-09-12,152693.1,INR,CARD,REF-3587AE10
PAY-8A5BBE5695,Olive Agro,2025-07-11,173985.54,INR,NEFT,REF-F14DF379
PAY-D38E6C1991,Velvet Cosmetics,2025-07-29,47095.71,INR,CARD,REF-655D6533
PAY-0BBE83F108,Quick Logistics,2025-07-17,149068.68,INR,CARD,REF-83425399
PAY-9CC4C3EBF8,Topaz Security,2025-10-14,158582.54,INR,UPI,REF-5162DA0C
PAY-4BB56FFF91,Falcon Couriers,2025-05-05,25686.13,INR,CASH,REF-A9813CE6
PAY-AE1BF87A49,ACME Corp,2025-06-05,82290.73,INR,NEFT,REF-670BE41B
PAY-78F1D8BEAF,Zeta Telecom,2025-08-25,156414.3,INR,NEFT,REF-EE8A66D7
PAY-CEF687A90D,Amber Healthcare,2025-10-07,138694.57,INR,UPI,REF-D14F8B5E
PAY-4720C92646,Silverline Hotels,2025-10-08,143884.13,INR,CASH,REF-D0609B6B
PAY-7865762150,Crescent Books,2025-05-01,123683.16,INR,NEFT,REF-6CA555BC
PAY-B35F313C6E,Titan Beverages,2025-10-17,184225.36,INR,CARD,REF-2FC39C80
PAY-9B8C2C7AC2,Summit Paper,2025-10-07,140926.22,INR,RTGS,REF-8FB5C40C
PAY-304AE287F4,Lotus Telecom,2025-06-12,139331.09,INR,UPI,REF-818C4610
PAY-068A27FAA3,Neptune Shipping,2025-07-23,86422.01,INR,CASH,REF-145C442B
PAY-8218A57497,Mango Mobility,2025-08-10,113402.65,INR,IMPS,REF-EF64A5FE
PAY-5873D32798,Metro Logistics,2025-06-14,16254.19,INR,RTGS,REF-2753F6ED
PAY-1FD28F5D8A,Stellar Insurance,2025-10-10,48545.54,INR,IMPS,REF-8BA457B1
PAY-2A6F45920A,Cobalt Energy,2025-08-24,127761.97,INR,UPI,REF-4AD7A2C5
PAY-DC4C38F917,Helios Motors,2025-10-16,2374.79,INR,IMPS,REF-99FA397D
PAY-D409C90E8D,Evergreen Supplies,2025-10-11,109546.33,INR,NEFT,REF-3B507A38
PAY-E49335A431,Lotus Telecom,2025-07-20,197536.51,INR,UPI,REF-E120AEF9
PAY-BEE0FAD5D6,Titan Beverages,2025-08-09,138217.55,INR,CASH,REF-AC4EECCA
PAY-F0744F8589,Marble Interiors,2025-06-10,199875.03,INR,CASH,REF-A19208FC
PAY-61D3B8202D,Orion Foods,2025-06-29,67615.32,INR,RTGS,REF-D6338A16
PAY-494277558A,Velvet Cosmetics,2025-10-22,155773.17,INR,IMPS,REF-D48C8924
PAY-0065255F65,Echo Electronics,2025-09-03,166651.36,INR,IMPS,REF-455603F4
PAY-DBF9B3D602,Glide Technologies,2025-06-27,121609.47,INR,NEFT,REF-5424FCD3
PAY-56FD3A47B7,Cobalt Energy,2025-10-08,38431.33,INR,IMPS,REF-FC293F47
PAY-BE0E6B0BDA,Titan Beverages,2025-05-24,180729.04,INR,CASH,REF-4AD40411
PAY-4F550F894B,Marble Interiors,2025-08-11,7156.22,INR,IMPS,REF-631652E5
PAY-A215151AFA,Raven Tools,2025-05-29,18481.61,INR,UPI,REF-F59279C0
PAY-2CC183E248,Silverline Hotels,2025-08-05,37624.12,INR,NEFT,REF-B45EC82D
PAY-743819C865,Crescent Books,2025-08-01,106405.05,INR,IMPS,REF-6C8D9E02
PAY-C3C7149F81,Metro Logistics,2025-07-05,182852.77,INR,IMPS,REF-013418B4
PAY-220B757DDD,Evergreen Supplies,2025-07-20,160944.39,INR,UPI,REF-8D92582F
PAY-2C04B0333B,Zeta Telecom,2025-05-31,139788.67,INR,IMPS,REF-35E554DB
PAY-6A196C558B,Zephyr Foods,2025-10-08,195998.48,INR,UPI,REF-B854BAC4
PAY-0ABA0C106B,Nimbus Soft,2025-08-07,3276.77,INR,IMPS,REF-FC203FC8
PAY-DD4ACA7AF4,Vortex Metals,2025-08-01,164572.25,INR,UPI,REF-58292FE9
PAY-686E4F7D90,Orion Foods,2025-10-17,47147.47,INR,NEFT,REF-7D24A6E7
PAY-C8096FC3F7,Stellar Insurance,2025-09-12,65937.25,INR,IMPS,REF-56858E53
PAY-7F63E77746,Indigo Chem,2025-05-15,109048.59,INR,IMPS,REF-31368C21
PAY-5A2BE40843,Astra Labs,2025-05-10,189279.18,INR,CASH,REF-9CA186BE
PAY-85035FAE0A,Topaz Security,2025-08-17,74516.8,INR,RTGS,REF-67820481
PAY-4F20A9A1C5,Vortex Metals,2025-05-28,196303.09,INR,IMPS,REF-F36EC715
PAY-6AD9FA5C45,Falcon Couriers,2025-10-01,81919.12,INR,IMPS,REF-AFAD801C
PAY-DEA42885DF,Quick Logistics,2025-10-24,74420.73,INR,NEFT,REF-06B64DC0
PAY-C2113507CC,Lotus Telecom,2025-06-29,171162.31,INR,CARD,REF-0F93928A
PAY-F750BDF853,Zephyr Foods,2025-07-23,113052.2,INR,RTGS,REF-43CE5ED0
PAY-22CB28BDE3,Alpha Insure,2025-08-07,55538.35,INR,NEFT,REF-BE66C46B
PAY-E7AFF017A7,Olive Agro,2025-05-15,150197.35,INR,RTGS,REF-8C83D14C
PAY-C6188013D2,Alpha Insure,2025-07-21,49091.99,INR,NEFT,REF-9A3D8EE9
PAY-622F40C7C3,Velvet Cosmetics,2025-06-18,14187.73,INR,UPI,REF-4188ADFD
PAY-2B48B43C0D,Amber Healthcare,2025-06-01,157834.43,INR,RTGS,REF-4FF5DCD2
PAY-F6FEE46E84,Trident Media,2025-05-17,127740.97,INR,CASH,REF-CA786A1C
PAY-0535B24BCE,Astra Labs,2025-04-24,71969.33,INR,NEFT,REF-7687DEEA
PAY-118ABBB85C,Vortex Metals,2025-07-22,3648.33,INR,RTGS,REF-DF7CA6D5
PAY-2A6B818243,Alpha Insure,2025-05-21,148472.75,INR,UPI,REF-52E695B9
PAY-48AF24D9D6,Pearl Analytics,2025-05-17,95511.07,INR,UPI,REF-14751AA3
PAY-06B5BE1959,Pine IT Services,2025-09-17,22256.27,INR,RTGS,REF-561FA889
PAY-D2C9BE1553,Olive Agro,2025-10-03,192823.22,INR,CASH,REF-8F0A02CC
PAY-F3A8617A21,Granite Mining,2025-08-11,85541.59,INR,IMPS,REF-E4E084E9
PAY-7AF331545E,Falcon Couriers,2025-08-19,15161.4,INR,RTGS,REF-2222DCBE
PAY-5AF3CB344A,Silverline Hotels,2025-09-25,30092.6,INR,CASH,REF-5A50B9F2
PAY-23689F8D85,Nova Travels,2025-09-27,126798.81,INR,RTGS,REF-B06A513F
PAY-5991369751,Topaz Security,2025-09-20,106346.09,INR,RTGS,REF-438F81EC
PAY-B408A11C18,Pine IT Services,2025-09-21,86324.77,INR,NEFT,REF-6FD6F199
PAY-F15C85A1A5,Indigo Chem,2025-10-04,175602.39,INR,UPI,REF-99B25D4B
PAY-16BEF7B5FD,Polar Constructions,2025-08-18,177674.16,INR,CASH,REF-066DFE18
PAY-9EF771735D,Amber Healthcare,2025-08-24,80046.67,INR,UPI,REF-360D4BE0
