invoice_id,vendor,date,amount,currency,description
INV-0000028,Pine IT Services,2025-08-25,18636.43,INR,Monthly service fee
INV-0000029,Delta Engineering,2025-05-30,125675.49,INR,Telecom usage
INV-0000030,Echo Electronics,2025-05-07,77261.08,INR,Office supplies
INV-0000031,Mango Mobility,2025-06-24,194230.14,INR,Monthly service fee
INV-0000032,Zephyr Foods,2025-05-20,136501.22,INR,Insurance premium
INV-0000033,Glide Technologies,2025-10-02,68365.01,INR,Insurance premium
INV-0000034,Polar Constructions,2025-05-31,91017.88,INR,Insurance premium
INV-0000035,Pine IT Services,2025-06-05,101782.49,INR,Hardware purchase
INV-0000036,Titan Beverages,2025-07-06,168413.03,INR,Logistics charge
INV-0000037,Vertex Retail,2025-07-25,152620.9,INR,Monthly service fee
INV-0000038,Echo Electronics,2025-07-12,97976.84,INR,Hardware purchase
INV-0000039,Sapphire Finance,2025-07-08,48270.74,INR,Logistics charge
INV-0000040,Velvet Cosmetics,2025-05-11,17587.86,INR,Office supplies
INV-0000041,Zeta Telecom,2025-09-04,153283.97,INR,Consulting retainer
INV-0000042,Prism Plastics,2025-08-20,189396.31,INR,Consulting retainer
INV-0000043,Helios Motors,2025-09-03,174550.39,INR,Telecom usage
INV-0000044,Apollo Health,2025-09-06,151175.41,INR,Logistics charge
INV-0000045,Iris Pharma,2025-07-09,80098.96,INR,Software subscription
INV-0000046,Lotus Telecom,2025-08-31,90571.49,INR,Logistics charge
INV-0000047,Cobalt Energy,2025-05-07,67948.07,INR,Logistics charge
INV-0000048,Vortex Metals,2025-06-16,1934.57,INR,Monthly service fee
INV-0000049,Cobalt Energy,2025-05-08,181131.29,INR,Software subscription
INV-0000050,Zeta Telecom,2025-08-30,47981.92,INR,Office supplies
INV-0000051,Apollo Health,2025-09-06,26896.21,INR,Office supplies
INV-0000052,Quasar Digital,2025-08-20,161595.65,INR,Logistics charge
INV-0000053,Orion Foods,2025-05-15,131967.06,INR,Software subscription
INV-0000054,Polar Constructions,2025-08-04,93671.42,INR,Monthly service fee
INV-0000055,Zephyr Foods,2025-10-05,196840.96,INR,Hardware purchase
INV-0000056,Alpha Insure,2025-08-02,145778.61,INR,Hardware purchase
INV-0000057,Quasar Digital,2025-06-09,38446.68,INR,Office supplies
INV-0000058,Astra Labs,2025-08-07,37105.86,INR,Office supplies
INV-0000059,Quasar Digital,2025-05-10,88904.58,INR,Hardware purchase
INV-0000060,Alpha Insure,2025-10-04,199856.85,INR,Monthly service fee
INV-0000061,Nimbus Soft,2025-06-20,33679.07,INR,Office supplies
INV-0000062,Granite Mining,2025-06-14,172997.75,INR,Monthly service fee
INV-0000063,Metro Logistics,2025-07-27,930.0,INR,Telecom usage
INV-0000064,Helios Motors,2025-08-15,57407.22,INR,Office supplies
INV-0000065,Vertex Retail,2025-06-08,59693.21,INR,Monthly service fee
INV-0000066,Vortex Metals,2025-09-06,12661.04,INR,Software subscription
INV-0000067,Alpha Insure,2025-05-03,117043.43,INR,Consulting retainer
INV-0000068,Alpha Insure,2025-08-29,16482.24,INR,Consulting retainer
INV-0000069,Zeta Telecom,2025-09-20,14058.19,INR,Logistics charge
INV-0000070,Crimson Textiles,2025-05-21,188348.43,INR,Logistics charge
INV-0000071,Vortex Metals,2025-09-20,8428.46,INR,Hardware purchase
INV-0000072,Aurora Systems,2025-10-06,116942.62,INR,Software subscription
INV-0000073,Helios Motors,2025-06-12,134110.33,INR,Software subscription
INV-0000074,Quasar Digital,2025-06-27,79459.28,INR,Insurance premium
INV-0000075,Olive Agro,2025-07-10,185839.16,INR,Hardware purchase
INV-0000076,ACME Corp,2025-08-16,124421.27,INR,Hardware purchase
INV-0000077,Zeta Telecom,2025-09-05,43024.29,INR,Insurance premium
INV-0000078,Astra Labs,2025-07-19,176232.4,INR,Logistics charge
INV-0000079,Sapphire Finance,2025-07-02,31970.49,INR,Insurance premium
INV-0000080,Stellar Insurance,2025-10-05,106023.67,INR,Insurance premium
INV-0000081,Prism Plastics,2025-05-17,187816.54,INR,Consulting retainer
INV-0000082,Helios Motors,2025-05-20,177997.69,INR,Consulting retainer
INV-0000083,Nova Travels,2025-07-02,121163.55,INR,Software subscription
INV-0000084,Apollo Health,2025-10-13,127030.47,INR,Insurance premium
INV-0000085,Pine IT Services,2025-08-24,50598.69,INR,Monthly service fee
INV-0000086,Nimbus Soft,2025-09-30,85003.37,INR,Insurance premium
INV-0000087,Quick Logistics,2025-04-21,67044.53,INR,Consulting retainer
INV-0000088,Titan Beverages,2025-06-27,32735.6,INR,Office supplies
INV-0000089,Lumen Power,2025-10-18,85823.54,INR,Monthly service fee
INV-0000090,Delta Engineering,2025-05-10,189037.66,INR,Consulting retainer
INV-0000091,Crescent Books,2025-04-30,167001.71,INR,Consulting retainer
INV-0000092,Polar Constructions,2025-05-23,8844.86,INR,Software subscription
INV-0000093,Quick Logistics,2025-07-21,42410.27,INR,Logistics charge
INV-0000094,Prism Plastics,2025-05-17,71058.89,INR,Telecom usage
INV-0000095,Stellar Insurance,2025-05-30,185189.88,INR,Logistics charge
INV-0000096,Metro Logistics,2025-06-05,176342.53,INR,Monthly service fee
INV-0000097,Trident Media,2025-07-15,156586.11,INR,Telecom usage
INV-0000098,Prism Plastics,2025-06-23,53727.74,INR,Hardware purchase
INV-0000099,Topaz Security,2025-04-30,171789.35,INR,Logistics charge
INV-0000100,Zenith Apparel,2025-08-16,70256.86,INR,Logistics charge
INV-0000101,Cobalt Energy,2025-04-27,132176.62,INR,Telecom usage
INV-0000102,Amber Healthcare,2025-07-01,172938.41,INR,Insurance premium
INV-0000103,Neptune Shipping,2025-10-02,102126.43,INR,Software subscription
INV-0000104,BlueBank Services,2025-05-20,175469.16,INR,Insurance premium
INV-0000105,Trident Media,2025-09-16,192525.6,INR,Insurance premium
INV-0000106,Quick Logistics,2025-05-18,119515.97,INR,Software subscription
INV-0000107,Raven Tools,2025-07-10,87560.58,INR,Hardware purchase
INV-0000108,Topaz Security,2025-09-15,38420.72,INR,Monthly service fee
INV-0000109,Iris Pharma,2025-08-10,837.41,INR,Logistics charge
INV-0000110,Sapphire Finance,2025-08-09,14459.78,INR,Software subscription
INV-0000111,Stellar Insurance,2025-07-10,132845.8,INR,Hardware purchase
INV-0000112,Raven Tools,2025-07-06,101670.94,INR,Telecom usage
INV-0000113,Silverline Hotels,2025-08-02,139593.08,INR,Consulting retainer
INV-0000114,Zenith Apparel,2025-08-06,133153.42,INR,Telecom usage
INV-0000115,Zephyr Foods,2025-06-04,123295.23,INR,Insurance premium
INV-0000116,Crimson Textiles,2025-09-08,166828.17,INR,Insurance premium
INV-0000117,Evergreen Supplies,2025-06-13,86262.69,INR,Software subscription
INV-0000118,Olive Agro,2025-08-12,88710.88,INR,Logistics charge
INV-0000119,Pine IT Services,2025-08-20,158850.21,INR,Consulting retainer
INV-0000120,Prism Plastics,2025-05-12,57115.39,INR,Software subscription
INV-0000121,Nimbus Soft,2025-06-20,134722.74,INR,Logistics charge
INV-0000122,Zenith Apparel,2025-05-28,5372.86,INR,Logistics charge
INV-0000123,Granite Mining,2025-09-24,170022.67,INR,Hardware purchase
INV-0000124,Olive Agro,2025-08-05,177284.31,INR,Logistics charge
INV-0000125,Iris Pharma,2025-10-16,77103.7,INR,Telecom usage
INV-0000126,Quasar Digital,2025-05-28,131383.57,INR,Monthly service fee
INV-0000127,Summit Paper,2025-05-18,155794.87,INR,Logistics charge
INV-0000128,Trident Media,2025-10-16,103832.57,INR,Monthly service fee
INV-0000129,Lumen Power,2025-06-23,183535.27,INR,Hardware purchase
INV-0000130,Olive Agro,2025-05-25,160382.61,INR,Software subscription
INV-0000131,Summit Paper,2025-08-12,122724.14,INR,Telecom usage
INV-0000132,Lumen Power,2025-08-13,179493.02,INR,Office supplies
INV-0000133,Lotus Telecom,2025-06-26,150479.47,INR,Insurance premium
INV-0000134,Glide Technologies,2025-09-01,97177.1,INR,Logistics charge
INV-0000135,Nova Travels,2025-08-11,15957.93,INR,Insurance premium
INV-0000136,Quasar Digital,2025-06-29,67501.58,INR,Hardware purchase
INV-0000137,Astra Labs,2025-05-29,46636.67,INR,Consulting retainer
INV-0000138,Iris Pharma,2025-06-14,13313.66,INR,Telecom usage
INV-0000139,Amber Healthcare,2025-09-06,93451.9,INR,Monthly service fee
INV-0000140,Apollo Health,2025-08-06,78200.62,INR,Monthly service fee
INV-0000141,Summit Paper,2025-09-15,76386.02,INR,Monthly service fee
INV-0000142,Neptune Shipping,2025-07-06,150818.29,INR,Telecom usage
INV-0000143,Crescent Books,2025-09-07,160073.7,INR,Logistics charge
INV-0000144,Falcon Couriers,2025-06-16,54950.59,INR,Office supplies
INV-0000145,BlueBank Services,2025-07-29,67557.84,INR,Telecom usage
INV-0000146,Raven Tools,2025-06-02,168180.88,INR,Consulting retainer
INV-0000147,Stellar Insurance,2025-09-04,5879.81,INR,Telecom usage
INV-0000148,Vortex Metals,2025-09-12,132768.45,INR,Hardware purchase
INV-0000149,Indigo Chem,2025-08-08,27572.05,INR,Office supplies
INV-0000150,Trident Media,2025-05-03,52401.18,INR,Software subscription
INV-0000151,Apollo Health,2025-08-15,65705.74,INR,Telecom usage
INV-0000152,Nova Travels,2025-08-06,50828.17,INR,Hardware purchase
INV-0000153,Granite Mining,2025-04-25,149930.34,INR,Monthly service fee
INV-0000154,Neptune Shipping,2025-06-17,130203.75,INR,Monthly service fee
INV-0000155,Summit Paper,2025-04-28,189947.54,INR,Logistics charge
INV-0000156,BlueBank Services,2025-09-27,30900.28,INR,Consulting retainer
INV-0000157,Granite Mining,2025-10-09,23320.69,INR,Logistics charge
INV-0000158,Olive Agro,2025-10-17,51620.62,INR,Software subscription
INV-0000159,Metro Logistics,2025-09-23,121645.88,INR,Hardware purchase
INV-0000160,Glide Technologies,2025-06-01,192961.79,INR,Hardware purchase
INV-0000161,Vortex Metals,2025-04-27,185812.99,INR,Telecom usage
INV-0000162,Crimson Textiles,2025-06-10,15661.3,INR,Logistics charge
INV-0000163,Orion Foods,2025-10-16,154609.94,INR,Hardware purchase
INV-0000164,Velvet Cosmetics,2025-05-01,69767.15,INR,Telecom usage
INV-0000165,Prism Plastics,2025-07-24,14256.87,INR,Software subscription
INV-0000166,ACME Corp,2025-08-06,164555.02,INR,Hardware purchase
INV-0000167,Polar Constructions,2025-07-22,127299.23,INR,Office supplies
INV-0000168,Iris Pharma,2025-05-30,87379.69,INR,Insurance premium
INV-0000169,Stellar Insurance,2025-09-05,155040.97,INR,Office supplies
INV-0000170,Polar Constructions,2025-09-19,54044.91,INR,Logistics charge
INV-0000171,Nimbus Soft,2025-07-01,176385.42,INR,Logistics charge
INV-0000172,Summit Paper,2025-08-17,114185.0,INR,Telecom usage
INV-0000173,Amber Healthcare,2025-04-28,99114.15,INR,Software subscription
INV-0000174,Trident Media,2025-08-23,42817.91,INR,Insurance premium
INV-0000175,Amber Healthcare,2025-07-01,176123.84,INR,Insurance premium
INV-0000176,Lumen Power,2025-04-23,103567.14,INR,Logistics charge
INV-0000177,Nimbus Soft,2025-06-21,144154.9,INR,Office supplies
INV-0000178,Lumen Power,2025-06-21,138276.56,INR,Office supplies
INV-0000179,Lotus Telecom,2025-04-25,19064.14,INR,Logistics charge
INV-0000180,Crimson Textiles,2025-10-15,49039.38,INR,Software subscription
INV-0000181,Granite Mining,2025-09-09,106418.93,INR,Telecom usage
INV-0000182,Pearl Analytics,2025-09-08,66492.86,INR,Office supplies
INV-0000183,Nova Travels,2025-07-08,50655.03,INR,Hardware purchase
INV-0000184,Raven Tools,2025-06-09,63451.81,INR,Consulting retainer
INV-0000185,Zenith Apparel,2025-06-15,147851.63,INR,Insurance premium
INV-0000186,Raven Tools,2025-09-18,195333.1,INR,Insurance premium
INV-0000187,Orion Foods,2025-06-09,59601.17,INR,Software subscription
INV-0000188,Trident Media,2025-07-07,3322.6,INR,Consulting retainer
INV-0000189,Nova Travels,2025-05-02,194871.84,INR,Insurance premium
INV-0000190,Coral Resorts,2025-05-23,127755.0,INR,Office supplies
INV-0000191,Orion Foods,2025-04-24,115025.81,INR,Office supplies
INV-0000192,Granite Mining,2025-08-11,68470.83,INR,Monthly service fee
INV-0000193,Helios Motors,2025-08-21,23260.38,INR,Hardware purchase
INV-0000194,Crimson Textiles,2025-08-24,15279.39,INR,Monthly service fee
INV-0000195,Vertex Retail,2025-05-29,162322.84,INR,Insurance premium
INV-0000196,Nimbus Soft,2025-06-23,24131.09,INR,Telecom usage
INV-0000197,Echo Electronics,2025-09-20,158252.8,INR,Logistics charge
INV-0000198,Glide Technologies,2025-09-01,76385.42,INR,Office supplies
INV-0000199,Marble Interiors,2025-09-18,198011.24,INR,Insurance premium
INV-0000200,Velvet Cosmetics,2025-09-26,12515.95,INR,Hardware purchase
INV-0000201,Summit Paper,2025-06-13,125290.25,INR,Insurance premium
INV-0000202,Prism Plastics,2025-05-11,31832.89,INR,Consulting retainer
INV-0000203,Lumen Power,2025-05-10,31728.26,INR,Telecom usage
INV-0000204,Lotus Telecom,2025-10-14,118965.33,INR,Insurance premium
INV-0000205,Quick Logistics,2025-06-19,57976.93,INR,Insurance premium
INV-0000206,Coral Resorts,2025-08-15,14700.36,INR,Logistics charge
INV-0000207,Helios Motors,2025-09-28,118163.02,INR,Logistics charge
INV-0000208,Polar Constructions,2025-05-20,109140.19,INR,Consulting retainer
INV-0000209,Nova Travels,2025-05-27,14746.26,INR,Consulting retainer
INV-0000210,Marble Interiors,2025-09-20,149917.07,INR,Insurance premium
INV-0000211,Lotus Telecom,2025-05-22,94005.25,INR,Insurance premium
INV-0000212,Coral Resorts,2025-08-02,188563.91,INR,Office supplies
INV-0000213,Lotus Telecom,2025-05-11,119808.31,INR,Telecom usage
INV-0000214,Pearl Analytics,2025-07-12,120940.87,INR,Monthly service fee
INV-0000215,Nimbus Soft,2025-06-18,192401.26,INR,Monthly service fee
INV-0000216,Summit Paper,2025-10-10,164373.54,INR,Monthly service fee
INV-0000217,Summit Paper,2025-06-04,94364.91,INR,Office supplies
INV-0000218,Nova Travels,2025-06-06,199390.62,INR,Telecom usage
INV-0000219,Titan Beverages,2025-08-24,193826.52,INR,Office supplies
INV-0000220,Neptune Shipping,2025-08-03,66995.02,INR,Hardware purchase
INV-0000221,Metro Logistics,2025-07-14,82623.2,INR,Office supplies
INV-0000222,Evergreen Supplies,2025-10-07,189066.11,INR,Monthly service fee
INV-0000223,Olive Agro,2025-05-13,63246.17,INR,Software subscription
INV-0000224,Delta Engineering,2025-08-02,173049.66,INR,Monthly service fee
INV-0000225,Prism Plastics,2025-09-06,92664.28,INR,Monthly service fee
INV-0000226,Zenith Apparel,2025-08-31,72674.98,INR,Office supplies
INV-0000227,Titan Beverages,2025-08-12,152118.11,INR,Logistics charge
INV-0000228,Nova Travels,2025-09-08,26637.14,INR,Insurance premium
INV-0000229,Lotus Telecom,2025-10-16,97200.0,INR,Monthly service fee
INV-0000230,Titan Beverages,2025-09-23,159963.09,INR,Consulting retainer
INV-0000231,Marble Interiors,2025-09-09,3228.06,INR,Telecom usage
INV-0000232,Nimbus Soft,2025-06-17,198455.3,INR,Hardware purchase
INV-0000233,Olive Agro,2025-05-21,129718.08,INR,Consulting retainer
INV-0000234,Falcon Couriers,2025-07-04,102019.97,INR,Insurance premium
INV-0000235,Aurora Systems,2025-08-22,196058.8,INR,Logistics charge
INV-0000236,Olive Agro,2025-09-09,29356.07,INR,Logistics charge
INV-0000237,Echo Electronics,2025-08-29,149385.36,INR,Consulting retainer
INV-0000238,Zeta Telecom,2025-06-30,154648.69,INR,Telecom usage
INV-0000239,Amber Healthcare,2025-08-28,53800.95,INR,Monthly service fee
INV-0000240,Evergreen Supplies,2025-07-06,167576.45,INR,Office supplies
INV-0000241,Vertex Retail,2025-08-13,107946.83,INR,Software subscription
INV-0000242,Amber Healthcare,2025-09-09,152693.1,INR,Telecom usage
INV-0000243,Olive Agro,2025-07-12,173985.54,INR,Logistics charge
INV-0000244,Velvet Cosmetics,2025-07-28,47095.71,INR,Telecom usage
INV-0000245,Quick Logistics,2025-07-11,149068.68,INR,Telecom usage
INV-0000246,Topaz Security,2025-10-07,158582.54,INR,Consulting retainer
INV-0000247,Falcon Couriers,2025-04-30,25686.13,INR,Software subscription
INV-0000248,Orion Foods,2025-08-11,20392.48,INR,Office supplies
INV-0000249,ACME Corp,2025-05-27,82290.73,INR,Consulting retainer
INV-0000250,Zeta Telecom,2025-08-19,156414.3,INR,Insurance premium
INV-0000251,Amber Healthcare,2025-09-27,138694.57,INR,Hardware purchase
INV-0000252,Amber Healthcare,2025-10-10,171938.77,INR,Telecom usage
INV-0000253,Silverline Hotels,2025-09-28,143884.13,INR,Office supplies
INV-0000254,Crescent Books,2025-04-30,123683.16,INR,Logistics charge
INV-0000255,Titan Beverages,2025-10-13,184225.36,INR,Logistics charge
INV-0000256,Pearl Analytics,2025-05-14,87077.31,INR,Hardware purchase
INV-0000257,Summit Paper,2025-09-30,140926.22,INR,Hardware purchase
INV-0000258,Lotus Telecom,2025-06-02,138953.23,INR,Monthly service fee
INV-0000259,Quick Logistics,2025-07-13,159330.62,INR,Insurance premium
INV-0000260,Neptune Shipping,2025-07-25,86422.01,INR,Logistics charge
INV-0000261,Mango Mobility,2025-08-04,113402.65,INR,Consulting retainer
INV-0000262,Metro Logistics,2025-06-04,16254.19,INR,Telecom usage
INV-0000263,Stellar Insurance,2025-10-12,48545.54,INR,Consulting retainer
INV-0000264,Cobalt Energy,2025-08-17,127761.97,INR,Office supplies
INV-0000265,Helios Motors,2025-10-08,2374.79,INR,Office supplies
INV-0000266,Evergreen Supplies,2025-10-11,109546.33,INR,Hardware purchase
INV-0000267,Lotus Telecom,2025-07-18,197536.51,INR,Insurance premium
INV-0000268,Titan Beverages,2025-08-07,138217.55,INR,Office supplies
INV-0000269,Marble Interiors,2025-06-10,199875.03,INR,Office supplies
INV-0000270,Orion Foods,2025-06-20,76582.18,INR,Software subscription
INV-0000271,Velvet Cosmetics,2025-07-05,198542.06,INR,Insurance premium
INV-0000272,BlueBank Services,2025-10-06,79463.25,INR,Monthly service fee
INV-0000273,Velvet Cosmetics,2025-10-13,155773.17,INR,Monthly service fee
INV-0000274,Echo Electronics,2025-08-26,166651.36,INR,Insurance premium
INV-0000275,Glide Technologies,2025-06-18,121609.47,INR,Software subscription
INV-0000276,Cobalt Energy,2025-09-30,38431.33,INR,Insurance premium
INV-0000277,Zephyr Foods,2025-10-06,136330.59,INR,Consulting retainer
INV-0000278,Titan Beverages,2025-05-15,180729.04,INR,Monthly service fee
INV-0000279,Marble Interiors,2025-08-11,7156.22,INR,Software subscription
INV-0000280,Raven Tools,2025-05-24,18481.61,INR,Insurance premium
INV-0000281,Silverline Hotels,2025-08-05,35540.19,INR,Consulting retainer
INV-0000282,Crescent Books,2025-07-23,106405.05,INR,Insurance premium
INV-0000283,Metro Logistics,2025-06-25,182852.77,INR,Office supplies
INV-0000284,Evergreen Supplies,2025-07-16,160944.39,INR,Office supplies
INV-0000285,Zeta Telecom,2025-05-27,150953.22,INR,Logistics charge
INV-0000286,Zephyr Foods,2025-10-10,195998.48,INR,Software subscription
INV-0000287,Nimbus Soft,2025-07-31,3276.77,INR,Hardware purchase
INV-0000288,Olive Agro,2025-07-24,134729.26,INR,Insurance premium
INV-0000289,Vortex Metals,2025-07-27,164572.25,INR,Software subscription
INV-0000290,Orion Foods,2025-10-10,47147.47,INR,Monthly service fee
INV-0000291,Stellar Insurance,2025-09-11,65937.25,INR,Logistics charge
INV-0000292,Indigo Chem,2025-05-07,127263.08,INR,Office supplies
INV-0000293,Coral Resorts,2025-07-07,130023.27,INR,Hardware purchase
INV-0000294,Astra Labs,2025-05-02,189279.18,INR,Insurance premium
INV-0000295,Falcon Couriers,2025-05-20,19889.8,INR,Consulting retainer
INV-0000296,Topaz Security,2025-08-15,74516.8,INR,Telecom usage
INV-0000297,Vortex Metals,2025-05-30,177140.05,INR,Hardware purchase
INV-0000298,Falcon Couriers,2025-09-25,81919.12,INR,Insurance premium
INV-0000299,Quick Logistics,2025-10-14,74420.73,INR,Office supplies
INV-0000300,Lotus Telecom,2025-06-20,171162.31,INR,Hardware purchase
INV-0000301,Zephyr Foods,2025-07-24,109120.94,INR,Software subscription
INV-0000302,Alpha Insure,2025-07-31,55538.35,INR,Hardware purchase
INV-0000303,Olive Agro,2025-05-14,132722.36,INR,Monthly service fee
INV-0000304,Alpha Insure,2025-07-15,49091.99,INR,Consulting retainer
INV-0000305,Velvet Cosmetics,2025-06-12,14187.73,INR,Logistics charge
INV-0000306,Vortex Metals,2025-06-15,162704.07,INR,Logistics charge
INV-0000307,Amber Healthcare,2025-05-28,157834.43,INR,Monthly service fee
INV-0000308,Nova Travels,2025-05-28,197511.7,INR,Insurance premium
INV-0000309,Trident Media,2025-05-19,132381.0,INR,Monthly service fee
INV-0000310,Astra Labs,2025-04-24,71969.33,INR,Logistics charge
INV-0000311,Vortex Metals,2025-07-12,3648.33,INR,Insurance premium
INV-0000312,Alpha Insure,2025-05-23,148472.75,INR,Hardware purchase
INV-0000313,Pearl Analytics,2025-05-07,95511.07,INR,Software subscription
INV-0000314,Pine IT Services,2025-09-19,22256.27,INR,Logistics charge
INV-0000315,Stellar Insurance,2025-05-02,145584.98,INR,Insurance premium
INV-0000316,Olive Agro,2025-10-02,192823.22,INR,Monthly service fee
INV-0000317,Granite Mining,2025-08-01,85541.59,INR,Hardware purchase
INV-0000318,Falcon Couriers,2025-08-12,15161.4,INR,Hardware purchase
INV-0000319,Silverline Hotels,2025-09-23,30092.6,INR,Consulting retainer
INV-0000320,Nova Travels,2025-09-27,126798.81,INR,Software subscription
INV-0000321,Topaz Security,2025-09-20,106346.09,INR,Office supplies
INV-0000322,Pine IT Services,2025-09-22,86324.77,INR,Hardware purchase
INV-0000323,Indigo Chem,2025-10-04,175602.39,INR,Logistics charge
INV-0000324,Polar Constructions,2025-08-14,177674.16,INR,Telecom usage
INV-0000325,Amber Healthcare,2025-08-15,80046.67,INR,Hardware purchase
INV-0000326,Silverline Hotels,2025-08-08,62848.45,INR,Insurance premium
INV-0000327,Sapphire Finance,2025-05-30,137520.8,INR,Office supplies
INV-0000328,Zeta Telecom,2025-05-14,166438.49,INR,Hardware purchase
INV-0000329,Polar Constructions,2025-05-15,149045.5,INR,Software subscription
INV-0000330,Astra Labs,2025-09-10,12466.21,INR,Software subscription
INV-0000331,Prism Plastics,2025-05-22,82456.32,INR,Telecom usage
INV-0000332,Raven Tools,2025-05-04,193695.53,INR,Insurance premium
INV-0000333,Neptune Shipping,2025-05-17,115794.74,INR,Logistics charge
INV-0000334,Vertex Retail,2025-10-06,96696.78,INR,Hardware purchase
INV-0000335,Neptune Shipping,2025-09-10,73828.43,INR,Insurance premium
INV-0000336,Velvet Cosmetics,2025-06-17,161540.66,INR,Monthly service fee
INV-0000337,Echo Electronics,2025-10-06,165977.43,INR,Insurance premium
INV-0000338,BlueBank Services,2025-06-06,55017.44,INR,Insurance premium
INV-0000339,Amber Healthcare,2025-07-19,1718.1,INR,Consulting retainer
INV-0000340,Velvet Cosmetics,2025-10-06,80456.48,INR,Consulting retainer
INV-0000341,Pearl Analytics,2025-09-30,194376.16,INR,Hardware purchase
INV-0000342,Pearl Analytics,2025-09-03,43419.01,INR,Telecom usage
INV-0000343,Olive Agro,2025-07-17,31903.15,INR,Insurance premium
INV-0000344,Raven Tools,2025-07-13,155478.71,INR,Hardware purchase
INV-0000345,Alpha Insure,2025-05-30,31903.27,INR,Monthly service fee
INV-0000346,Zephyr Foods,2025-05-11,54784.52,INR,Telecom usage
INV-0000347,Falcon Couriers,2025-09-23,88687.82,INR,Insurance premium
INV-0000348,Apollo Health,2025-08-30,23206.59,INR,Telecom usage
INV-0000349,Delta Engineering,2025-07-02,135804.47,INR,Office supplies
INV-0000350,Mango Mobility,2025-10-08,62029.67,INR,Logistics charge
INV-0000351,Crimson Textiles,2025-09-21,11429.0,INR,Logistics charge
INV-0000352,Marble Interiors,2025-06-14,153586.23,INR,Insurance premium
INV-0000353,Evergreen Supplies,2025-07-13,24436.88,INR,Office supplies
INV-0000354,Pearl Analytics,2025-08-09,35551.11,INR,Telecom usage
INV-0000355,Crescent Books,2025-10-18,46407.09,INR,Software subscription
INV-0000356,Zeta Telecom,2025-07-31,172421.99,INR,Monthly service fee
INV-0000357,Polar Constructions,2025-04-25,92220.97,INR,Hardware purchase
INV-0000358,Silverline Hotels,2025-09-15,86142.22,INR,Telecom usage
INV-0000359,Iris Pharma,2025-10-01,83829.94,INR,Hardware purchase
INV-0000360,Crimson Textiles,2025-04-26,193256.84,INR,Consulting retainer
INV-0000361,Stellar Insurance,2025-08-16,166489.17,INR,Software subscription
INV-0000362,Nimbus Soft,2025-08-10,168974.63,INR,Logistics charge
INV-0000363,Polar Constructions,2025-09-18,80389.74,INR,Hardware purchase
INV-0000364,Crimson Textiles,2025-07-09,149288.06,INR,Logistics charge
INV-0000365,Amber Healthcare,2025-06-03,15737.69,INR,Hardware purchase
INV-0000366,Mango Mobility,2025-08-29,39183.79,INR,Software subscription
INV-0000367,Neptune Shipping,2025-10-03,163099.88,INR,Logistics charge
INV-0000368,Orion Foods,2025-05-28,51565.66,INR,Consulting retainer
INV-0000369,Echo Electronics,2025-05-30,152162.95,INR,Hardware purchase
INV-0000370,Trident Media,2025-09-28,99076.35,INR,Office supplies
INV-0000371,Zephyr Foods,2025-09-12,128776.87,INR,Software subscription
INV-0000372,Titan Beverages,2025-07-10,30616.0,INR,Hardware purchase
INV-0000373,Granite Mining,2025-08-12,126461.33,INR,Insurance premium
INV-0000374,Vortex Metals,2025-05-05,70712.47,INR,Hardware purchase
